"CITIZEN","TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"Unknown","2013","Slovakia","Total","Total","Number","0",""
"Unknown","2013","Finland","Total","Total","Number","1,261",""
"Unknown","2013","Sweden","Total","Total","Number","7,858",""
"Unknown","2013","United Kingdom","Total","Total","Number","23,837",""
"Unknown","2013","Iceland","Total","Total","Number","0",""
"Unknown","2013","Liechtenstein","Total","Total","Number","0",""
"Unknown","2013","Norway","Total","Total","Number","97",""
"Unknown","2013","Switzerland","Total","Total","Number","899",""
"Unknown","2014","Belgium","Total","Total","Number","3,654",""
"Unknown","2014","Bulgaria","Total","Total","Number","825",""
"Unknown","2014","Czech Republic","Total","Total","Number","7",""
"Unknown","2014","Denmark","Total","Total","Number","79",""
"Unknown","2014","Germany (until 1990 former territory of the FRG)","Total","Total","Number","0",""
"Unknown","2014","Estonia","Total","Total","Number","600",""
"Unknown","2014","Ireland","Total","Total","Number","0","p"
"Unknown","2014","Greece","Total","Total","Number","0",""
"Unknown","2014","Spain","Total","Total","Number","0",""
"Unknown","2014","France","Total","Total","Number","0","p"
"Unknown","2014","Croatia","Total","Total","Number","2,344",""
"Unknown","2014","Italy","Total","Total","Number","0",""
"Unknown","2014","Cyprus","Total","Total","Number","7,735",""
"Unknown","2014","Latvia","Total","Total","Number","0",""
"Unknown","2014","Lithuania","Total","Total","Number","1,782",""
"Unknown","2014","Luxembourg","Total","Total","Number","0",""
"Unknown","2014","Hungary","Total","Total","Number","235",""
"Unknown","2014","Malta","Total","Total","Number","0",""
"Unknown","2014","Netherlands","Total","Total","Number","80,677",""
"Unknown","2014","Austria","Total","Total","Number","5,670",""
"Unknown","2014","Poland","Total","Total","Number","8,138","p"
"Unknown","2014","Portugal","Total","Total","Number","0",""
"Unknown","2014","Romania","Total","Total","Number","16",""
"Unknown","2014","Slovenia","Total","Total","Number","0",""
"Unknown","2014","Slovakia","Total","Total","Number","0",""
"Unknown","2014","Finland","Total","Total","Number","860",""
"Unknown","2014","Sweden","Total","Total","Number","7,470",""
"Unknown","2014","United Kingdom","Total","Total","Number","27,072",""
"Unknown","2014","Iceland","Total","Total","Number","0",""
"Unknown","2014","Liechtenstein","Total","Total","Number","0",""
"Unknown","2014","Norway","Total","Total","Number","437",""
"Unknown","2014","Switzerland","Total","Total","Number","1,035",""
"Unknown","2015","Belgium","Total","Total","Number","4,128","b"
"Unknown","2015","Bulgaria","Total","Total","Number","2,538",""
"Unknown","2015","Czech Republic","Total","Total","Number","2",""
"Unknown","2015","Denmark","Total","Total","Number","67",""
"Unknown","2015","Germany (until 1990 former territory of the FRG)","Total","Total","Number","0","b"
"Unknown","2015","Estonia","Total","Total","Number","1,312",""
"Unknown","2015","Ireland","Total","Total","Number","0","p"
"Unknown","2015","Greece","Total","Total","Number","0",""
"Unknown","2015","Spain","Total","Total","Number","0",""
"Unknown","2015","France","Total","Total","Number","0","b"
"Unknown","2015","Croatia","Total","Total","Number","2,359",""
"Unknown","2015","Italy","Total","Total","Number","0",""
"Unknown","2015","Cyprus","Total","Total","Number","7,670",""
"Unknown","2015","Latvia","Total","Total","Number","0",""
"Unknown","2015","Lithuania","Total","Total","Number","0",""
"Unknown","2015","Luxembourg","Total","Total","Number","0",""
"Unknown","2015","Hungary","Total","Total","Number","241",""
"Unknown","2015","Malta","Total","Total","Number","0",""
"Unknown","2015","Netherlands","Total","Total","Number","73,981",""
"Unknown","2015","Austria","Total","Total","Number","6,321",""
"Unknown","2015","Poland","Total","Total","Number","6,284","p"
"Unknown","2015","Portugal","Total","Total","Number","0",""
"Unknown","2015","Romania","Total","Total","Number","28",""
"Unknown","2015","Slovenia","Total","Total","Number","0",""
"Unknown","2015","Slovakia","Total","Total","Number","0",""
"Unknown","2015","Finland","Total","Total","Number","872",""
"Unknown","2015","Sweden","Total","Total","Number","8,220",""
"Unknown","2015","United Kingdom","Total","Total","Number","29,776",""
"Unknown","2015","Iceland","Total","Total","Number","0",""
"Unknown","2015","Liechtenstein","Total","Total","Number","0",""
"Unknown","2015","Norway","Total","Total","Number",":",""
"Unknown","2015","Switzerland","Total","Total","Number","1,280",""
